Nombre;Tipo;Valoración;Localización;Ciudad;Distancia;Cercanías;Descripción
El Colmenar Habitaciones;Hostal;3 de 5;Hortaleza;Madrid;a 8,3 km del centro;a 8,3 km del centro;El Colmenar Habitaciones está muy bien situado en el barrio de Hortaleza, Madrid, a 2,8 km de IFEMA, a 5,7 km de Estación de Chamartín - Clara Campoamor y a 6,1 km de Estadio Santiago Bernabéu.
Hostal Castilla;Hostal;0 de 5;Centro de Madrid;Madrid;a 1,2 km del centro;a 1,2 km del centro;Hostal Castilla está en Madrid, a 14 min a pie de Museo Thyssen-Bornemisza y a 1,4 km de Gran Vía, y ofrece habitaciones con wifi gratis.
LooP America;Hostal;0 de 5;Salamanca;Madrid;a 4,5 km del centro;a 4,5 km del centro;LooP America está muy bien situado en el barrio de Salamanca, Madrid, a 3,8 km de Estadio Santiago Bernabéu, a 5,3 km de Museo Thyssen-Bornemisza y a 5,4 km de Parque de El Retiro.
GARDEN HOUSE Madrid;Hostal;3 de 5;Moratalaz;Madrid;a 3,9 km del centro;a 3,9 km del centro;Gestionado por un particular
AmazINN Places Blasco de Garay 105;Hostal;3 de 5;Chamberí;Madrid;a 2,4 km del centro;a 2,4 km del centro;AmazINN Places Blasco de Garay 105, que se encuentra a 1,7 km de Estación de metro Plaza de España y a 1,8 km de Templo de Debod, ofrece habitaciones con aire acondicionado y baño privado en Madrid.
Amplias habitaciones en el corazón de Madrid - Plaza de España;Hostal;0 de 5;Centro de Madrid;Madrid;a 1,2 km del centro;a 1,2 km del centro;Amplias habitaciones en el corazón de Madrid - Plaza de España está muy bien situado en el barrio de Centro de Madrid, Madrid, a 6 min a pie de Gran Vía, a 700 metros de Templo de Debod y a 14 min a...
El Hostall;Hostal;2 de 5;Centro de Madrid;Madrid;a 350 m del centro;a 350 m del centro;El hostall se encuentra en el centro de Madrid, junto a la estación de metro Gran Vía.
Hostal New Dream Madrid;Hostal;0 de 5;Centro de Madrid;Madrid;a 1,1 km del centro;;Hostal New Dream Madrid es un alojamiento muy bien situado en Madrid que ofrece un desayuno continental y wifi gratis en todo el alojamiento.
Hostal La Selecta;Hostal;2 de 5;Centro de Madrid;Madrid;a 450 m del centro;a 450 m del centro;El Hostal La Selecta está situado en el centro de Madrid, a 100 metros de la estación de metro de Gran Vía. Ofrece recepción abierta las 24 horas y conexión Wi-Fi gratuita.
Hostal Abami II;Hostal;2 de 5;Centro de Madrid;Madrid;a 0,8 km del centro;;Todas las habitaciones del Hostal Abami II tienen TV de pantalla plana de 32 pulgadas y conexión Wi-Fi gratuita. El hostal se encuentra en el centro de Madrid, entre la Gran Vía y la Puerta del Sol.
Hostal Guerra;Hostal;3 de 5;Centro de Madrid;Madrid;a 150 m del centro;a 150 m del centro;El encantador Hostal Guerra se encuentra a 2 minutos a pie de la Puerta del Sol, en pleno casco antiguo de Madrid. Ofrece conexión Wi-Fi gratuita y aire acondicionado.
Pensión Mollo;Hostal;0 de 5;Centro de Madrid;Madrid;a 1 km del centro;a 1 km del centro;Este sencillo establecimiento se encuentra en el centro de Madrid, a tan solo 5 minutos a pie de la estación del AVE de Atocha y a 10 minutos a pie del parque del Retiro. La conexión Wi-Fi es...
L&H Callao Selection Adults Only;Hostal;3 de 5;Centro de Madrid;Madrid;a 450 m del centro;;L&H Callao Selection Adults Only está muy bien situado en el barrio de Centro de Madrid, Madrid, a 5 min a pie de Estación de metro Gran Vía, a 1,3 km de Museo Thyssen-Bornemisza y a 7 min a pie de...
Lux Penthouse gran vía;Hostal;3 de 5;Centro de Madrid;Madrid;a 500 m del centro;a 500 m del centro;Lux Penthouse gran vía, que tiene salón de uso común, terraza y casino, está en el centro de Madrid, a 3 min a pie de Estación de metro Gran Vía.
Veracruz Puerta del Sol;Hostal;2 de 5;Centro de Madrid;Madrid;a 150 m del centro;;El Hostal Veracruz se encuentra en el corazón de Madrid, a pocos metros de la Puerta del Sol y de la estación de metro Sol. Cuenta con conexión inalámbrica a internet gratuita.
Hostal Oriente;Hostal;3 de 5;Centro de Madrid;Madrid;a 500 m del centro;a 500 m del centro;Hotel situado en el centro de Madrid, cerca de lugares tan famosos como el Teatro Real y la Catedral de la Almudena.
CH Murallas II;Hostal;3 de 5;Salamanca;Madrid;a 3,3 km del centro;a 3,3 km del centro;CH Murallas II está muy bien situado en el barrio de Salamanca, Madrid, a 3,6 km de Estadio Santiago Bernabéu, a 3,6 km de Museo Thyssen-Bornemisza y a 3,7 km de Parque de El Retiro.
Gran Via Experience;Hostal;0 de 5;Centro de Madrid;Madrid;a 350 m del centro;a 350 m del centro;Gran Via Experience es un alojamiento muy bien situado en el centro de Madrid que ofrece wifi gratis en todo el alojamiento y salón de uso común.
CH Antonio;Hostal;0 de 5;Centro de Madrid;Madrid;a 1,2 km del centro;a 1,2 km del centro;Gestionado por un particular
Hostal La Perla Asturiana;Hostal;2 de 5;Centro de Madrid;Madrid;a 250 m del centro;a 250 m del centro;Este alojamiento económico se encuentra a solo 50 metros de la plaza Mayor. Hay WiFi gratuita en las habitaciones y en las zonas comunes.
Hostal Abitum Madrid;Hostal;2 de 5;Tetuán;Madrid;a 3,7 km del centro;a 3,7 km del centro;El Hostal Abitum Madrid ofrece alojamiento en Madrid. Está a unos 300 metros de las estaciones de metro de Alvarado y Cuatro Caminos. Las habitaciones cuentan con baño privado.
Nersan;Hostal;2 de 5;Centro de Madrid;Madrid;a 0,8 km del centro;a 0,8 km del centro;El Nersan se encuentra a 100 metros de la plaza de España y a 250 metros del Palacio Real de Madrid. Está en el centro y ofrece conexión WiFi gratuita y aire acondicionado.
Hostal Loyola;Hostal;1 de 5;Centro de Madrid;Madrid;a 0,6 km del centro;a 0,6 km del centro;El Hostal Loyola está situado en el moderno distrito de Malasaña de Madrid y ofrece WiFi gratuita y habitaciones sencillas con TV de pantalla plana. La estación de metro de Callao está a 250 metros.
H21 Rooms;Hostal;0 de 5;Centro de Madrid;Madrid;a 450 m del centro;a 450 m del centro;H21 Rooms se encuentra en Madrid, a 10 min a pie de Museo Reina Sofía y a 1,2 km de Estación de tren de Atocha, y ofrece alojamiento con wifi gratis en todo el alojamiento.
Hostal Centro Sol Madrid;Hostal;3 de 5;Centro de Madrid;Madrid;a 150 m del centro;a 150 m del centro;El hotel Centro Sol ofrece habitaciones coloridas con aire acondicionado en el centro de Madrid.
Uma Suites Atocha;Hostal;3 de 5;Centro de Madrid;Madrid;a 1,1 km del centro;a 1,1 km del centro;Uma Suites Atocha está a 5 min a pie de Estación de tren de Atocha, en Madrid, y dispone de wifi gratis, servicio de conserjería y servicio de check-in y check-out exprés.
Vázquez de Mella Gran Vía;Hostal;2 de 5;Centro de Madrid;Madrid;a 0,6 km del centro;;Este encantador hostal están en el centro de Madrid, a 200 metros de la Gran Vía. El Hostal Vazquez de Mella ofrece una zona de conexión wifi gratis.
Hostal Astoria;Hostal;2 de 5;Centro de Madrid;Madrid;a 350 m del centro;a 350 m del centro;El Hostal Astoria ocupa un edificio del siglo XIX situado a 250 metros de la Puerta del Sol de Madrid y ofrece conexión wifi gratuita.
Hostal Adria Santa Ana;Hostal;3 de 5;Centro de Madrid;Madrid;a 250 m del centro;;El Hostal Adria Santa Ana está situado a sólo 250 metros de la céntrica Puerta del Sol de Madrid.
Hostal Andrea;Hostal;3 de 5;Centro de Madrid;Madrid;a 0,7 km del centro;a 0,7 km del centro;Hostal Andrea se encuentra en Madrid, a 12 min a pie de Museo Thyssen-Bornemisza y a 900 metros de Gran Vía, y ofrece wifi gratis en todo el alojamiento.
THC Latina Hostel;Hostal;3 de 5;Centro de Madrid;Madrid;a 0,9 km del centro;a 0,9 km del centro;El THC Latina Hostel se encuentra en el elegante barrio madrileño de La Latina, a solo 300 metros de la estación de metro de La Latina.
THC Bergantin Hostel;Hostal;3 de 5;Centro de Madrid;Madrid;a 150 m del centro;a 150 m del centro;El THC Bergantin Hostel se encuentra en la famosa Puerta del Sol de Madrid. Ofrece habitaciones elegantes y modernas decoradas en tonos neutros y con suelo de madera.
Hostal Castilla I Atocha;Hostal;2 de 5;Centro de Madrid;Madrid;a 450 m del centro;;Este hotel con encanto ocupa un edificio histórico en pleno centro de Madrid y ofrece habitaciones con una decoración exquisita y baño privado. Además, hay WiFi gratuita.
Hostal Persal;Hostal;3 de 5;Centro de Madrid;Madrid;a 300 m del centro;a 300 m del centro;Este hotel con encanto, que data de 1871, está situado en el céntrico e histórico barrio de Las Letras de Madrid, la zona más dinámica y divertida de la ciudad.
Hostal America;Hostal;2 de 5;Centro de Madrid;Madrid;a 0,6 km del centro;;El Hostal América está situado a solo 200 metros de la estación de metro de Gran Vía y ofrece conexión Wi-Fi gratuita y una recepción abierta las 24 horas.
AmazINN Places Blasco de Garay 102;Hostal;3 de 5;Chamberí;Madrid;a 2,4 km del centro;a 2,4 km del centro;AmazINN Places Blasco de Garay 102, que está a 1,7 km de Estación de metro Plaza de España y a 1,8 km de Templo de Debod, ofrece habitaciones con aire acondicionado y baño privado en Madrid.
Cinco Torres Suites;Hostal;3 de 5;Tetuán;Madrid;a 6,3 km del centro;;Cinco Torres Suites, que se encuentra a 15 min a pie de Estación de Chamartín - Clara Campoamor y a 3,1 km de Estadio Santiago Bernabéu, ofrece habitaciones con aire acondicionado y baño privado en...
Madrid Live Coworking - SELF SERVICE -;Hostal;3 de 5;Latina;Madrid;a 2,6 km del centro;a 2,6 km del centro;Madrid Live Coworking - SELF SERVICE - dispone de piscina al aire libre, jardín, salón de uso común y terraza en Madrid.
BE Coliving Madrid Centro;Hostal;0 de 5;Centro de Madrid;Madrid;a 1,2 km del centro;a 1,2 km del centro;Gestionado por un particular
Hostal Cuatro Torres;Hostal;3 de 5;Fuencarral - El Pardo;Madrid;a 8 km del centro;a 8 km del centro;Hostal Cuatro Torres está muy bien situado en el barrio de Fuencarral - El Pardo, Madrid, a 2,6 km de Estación de Chamartín - Clara Campoamor, a 4,6 km de Estadio Santiago Bernabéu y a 8,5 km de Museo...
Hostal La Bañezana;Hostal;3 de 5;Centro de Madrid;Madrid;a 200 m del centro;;El Hostal La Bañezana está a sólo 200 metros de la famosa plaza madrileña de la Puerta del Sol.
CC Atocha;Hostal;3 de 5;Arganzuela;Madrid;a 1,4 km del centro;a 1,4 km del centro;El CC Atocha está situado a 200 metros de la estación de tren y metro de Atocha y a 2 minutos a pie del Museo Reina Sofía. Ofrece habitaciones con WiFi gratuita y TV.
SPACE CENTER MADRID;Hostal;0 de 5;Moncloa - Aravaca;Madrid;a 2,1 km del centro;a 2,1 km del centro;SPACE CENTER MADRID se encuentra en Madrid, a 10 min a pie de Templo de Debod, y ofrece servicio de conserjería, habitaciones libres de humo, salón de uso común, wifi gratis en todo el alojamiento y...
Hostal Viky;Hostal;2 de 5;Barajas;Madrid;a 12,5 km del centro;a 12,5 km del centro;Este hostal, de gestión familiar, situado en Barajas, se encuentra a solo 5 minutos en coche del aeropuerto internacional de Madrid y a 15,5 km del centro de la ciudad.
Hostal del Pez Azul;Hostal;3 de 5;Centro de Madrid;Madrid;a 0,7 km del centro;;El Hostal del Pez Azul ocupa un edificio del siglo XIX reformado y situado en el centro histórico de Madrid. El establecimiento ofrece habitaciones con conexión Wi-Fi gratuita.
Queens Plaza España - Alquiler Corta Duración;Hostal;3 de 5;Moncloa - Aravaca;Madrid;a 1,4 km del centro;a 1,4 km del centro;Queens Plaza España - Alquiler Corta Duración, que se encuentra a 2 min a pie de Templo de Debod y a 700 metros de Estación de metro Plaza de España, ofrece habitaciones con aire acondicionado y baño...
Madrid Room Sol Center;Hostal;0 de 5;Centro de Madrid;Madrid;a 150 m del centro;a 150 m del centro;Gestionado por un particular
Casa Sergio;Hostal;3 de 5;Moncloa - Aravaca;Madrid;a 5,5 km del centro;a 5,5 km del centro;Casa Sergio se encuentra en Madrid, a 3,5 km de Estadio Santiago Bernabéu, y dispone de terraza, habitaciones libres de humo y wifi gratis en todo el alojamiento.
Queens House Chueca;Hostal;3 de 5;Centro de Madrid;Madrid;a 0,7 km del centro;a 0,7 km del centro;Queens House Chueca está en Madrid, a 9 min a pie de Museo Thyssen-Bornemisza y a 1,1 km de Gran Vía, y dispone de wifi gratis en todo el alojamiento.
Estudio en Madrid;Hostal;3 de 5;Moncloa - Aravaca;Madrid;a 1,5 km del centro;a 1,5 km del centro;Gestionado por un particular
Grand Via House;Hostal;3 de 5;Centro de Madrid;Madrid;a 450 m del centro;a 450 m del centro;Grand Via House está situada en una zona privilegiada del centro de Madrid, a 400 metros de la Puerta del Sol.
Pension Cuatro Torres;Hostal;3 de 5;Fuencarral - El Pardo;Madrid;a 7,8 km del centro;a 7,8 km del centro;Pension Cuatro Torres, que se encuentra a 2,4 km de Estación de Chamartín - Clara Campoamor y a 4,5 km de Estadio Santiago Bernabéu, ofrece habitaciones con aire acondicionado y baño privado en...
Hostal Sun Gate;Hostal;2 de 5;Centro de Madrid;Madrid;a 150 m del centro;;Hostal Sun Gate se encuentra en el barrio de Centro de Madrid, en Madrid. Ofrece alojamiento de 2 estrellas y habitaciones con wifi gratis.
Hostal Miami;Hostal;2 de 5;Centro de Madrid;Madrid;a 450 m del centro;;El Hostal Miami se encuentra en la céntrica Gran Vía madrileña, junto a la estación de metro de Callao.
OPERA ROOMS;Hostal;3 de 5;Centro de Madrid;Madrid;a 400 m del centro;a 400 m del centro;OPERA ROOMS está muy bien situado en el barrio de Centro de Madrid, Madrid, a 5 min a pie de Gran Vía, a 400 metros de Plaza Mayor de Madrid y a 6 min a pie de Puerta del Sol.
Hostal Maria Ronda;Hostal;3 de 5;Carabanchel;Madrid;a 4,8 km del centro;a 4,8 km del centro;El Hostal Maria Ronda se encuentra a 10 minutos en coche del centro de Madrid. Hay conexión a internet gratuita y habitaciones con baño privado.
Hostal Los Coronales;Hostal;3 de 5;Barajas;Madrid;a 11,1 km del centro;a 11,1 km del centro;Este hostal se encuentra en Los Coronales de Barajas, a 2 km del aeropuerto de Barajas y del parque ferial IFEMA.
Hostal Goyal Pizarro;Hostal;3 de 5;Centro de Madrid;Madrid;a 0,7 km del centro;;El Hostal Goyal Pizarro ocupa un edificio modernista del barrio de Chueca de Madrid, una zona famosa en todo el mundo por su animado ambiente nocturno gay y lésbico.
Modern Studio by the Airport-IFEMA;Hostal;3 de 5;Hortaleza;Madrid;a 9,3 km del centro;a 9,3 km del centro;Gestionado por un particular
Hostal Paquita;Hostal;1 de 5;Fuencarral - El Pardo;Madrid;a 7,3 km del centro;;Este hostal sencillo de gestión familiar está situado en el noreste de Madrid, a 600 metros de la estación de metro de Lacoma.
Hostal San Lorenzo;Hostal;3 de 5;Centro de Madrid;Madrid;a 0,5 km del centro;a 0,5 km del centro;Este hostal está situado en el corazón de Madrid, cerca de la Puerta del Sol, el Palacio Real y el famoso Museo del Prado, y ofrece conexión WiFi gratuita.
Hostal Corazón de Madrid;Hostal;2 de 5;Centro de Madrid;Madrid;a 0,7 km del centro;a 0,7 km del centro;Este establecimiento se encuentra en el barrio de Chueca, en el centro de Madrid, a pocos pasos de la Gran Vía, de la Puerta del Sol y de la Plaza Mayor.
Casa de Huéspedes 12 Octubre Rooms;Hostal;3 de 5;Usera;Madrid;a 4,7 km del centro;a 4,7 km del centro;Casa de Huéspedes 12 Octubre Rooms está muy bien situado en el barrio de Usera, Madrid, a 4,8 km de Estación de tren de Atocha, a 5 km de Museo Reina Sofía y a 6,4 km de Museo Thyssen-Bornemisza.
Hostal Nersan2;Hostal;0 de 5;Chamberí;Madrid;a 1,8 km del centro;a 1,8 km del centro;El Hostal Nersan2 está a 700 metros del Museo Sorolla, en el barrio madrileño de Chamberí.
Das Carretas;Hostal;0 de 5;Centro de Madrid;Madrid;a 100 m del centro;;Das Carretas se encuentra en el centro de Madrid, a 6 min a pie de Estación de metro Gran Vía, ydispone de habitaciones con aire acondicionado y wifi gratis.
BV Rooms;Hostal;0 de 5;Centro de Madrid;Madrid;a 0,8 km del centro;a 0,8 km del centro;BV Rooms está muy bien situado en el barrio de Centro de Madrid, Madrid, a 9 min a pie de Estación de tren de Atocha, a 1,1 km de Plaza Mayor de Madrid y a 15 min a pie de Mercado de San Miguel.
CH Otello Rooms I - Madrid;Hostal;2 de 5;Centro de Madrid;Madrid;a 0,6 km del centro;a 0,6 km del centro;El CH Otello Rooms I - Madrid se encuentra a 100 metros de la estación de metro de Ópera y ofrece habitaciones con WiFi gratuita y baño privado. En el hostal hay un salón compartido.
Alhambra Suites;Hostal;3 de 5;Centro de Madrid;Madrid;a 100 m del centro;a 100 m del centro;El Alhambra Suites está muy bien situado en Madrid, cerca de lugares de interés como la Puerta del Sol, el mercado de San Miguel, el Museo Thyssen-Bornemisza y el Museo del Prado.
Hostal JQ Madrid 1;Hostal;3 de 5;Centro de Madrid;Madrid;a 200 m del centro;;El Hostal JQ Madrid 1 se encuentra en el centro de Madrid, a sólo 200 metros de la Puerta del Sol.
Hostal Fuentesol;Hostal;0 de 5;Centro de Madrid;Madrid;a 150 m del centro;a 150 m del centro;El Hostal Fuentesol se encuentra en el centro de Madrid, junto a la Puerta del Sol. Ofrece habitaciones con aire acondicionado, TV y baño privado.
Hostal Escala Suites;Hostal;0 de 5;Hortaleza;Madrid;a 8,8 km del centro;;El Hostal Escala Suites se encuentra en Madrid, a 5 km del aeropuerto Adolfo Suárez Madrid-Barajas. Hay WiFi gratuita.
Hostal Castilla II Puerta del Sol;Hostal;2 de 5;Centro de Madrid;Madrid;a 150 m del centro;;Este hostal está situado a solo 25 metros de la Puerta del Sol y la plaza Mayor. Ofrece habitaciones con TV de pantalla plana y WiFi gratuita.
Hostal Río Paraná;Hostal;1 de 5;Centro de Madrid;Madrid;a 150 m del centro;a 150 m del centro;Este establecimiento se encuentra a solo 100 metros de la Puerta del Sol y ofrece recepción 24 horas y habitaciones luminosas con TV de pantalla plana y baño privado.
Hostal Santa Barbara;Hostal;2 de 5;Centro de Madrid;Madrid;a 1,3 km del centro;a 1,3 km del centro;El Santa Barbara está situado junto a la estación de metro de Alonso Martínez, en los límites del céntrico y animado barrio de Chueca de Madrid.
Hostal Boutique I Host You;Hostal;3 de 5;Centro de Madrid;Madrid;a 0,7 km del centro;a 0,7 km del centro;Hostal Boutique I Host You se encuentra en el barrio de Centro de Madrid, en Madrid. Ofrece alojamiento de 3 estrellas y habitaciones con wifi gratis.
Hostal Huespedes Toledo;Hostal;3 de 5;Centro de Madrid;Madrid;a 400 m del centro;a 400 m del centro;El Hostal Huéspedes Toledo ofrece habitaciones sencillas con TV y conexión Wi-Fi gratuita.
Hostal Los Andes;Hostal;1 de 5;Chamberí;Madrid;a 2 km del centro;a 2 km del centro;Gestionado por un particular
AYZ Javier Cabrini - Auto check-in property;Hostal;0 de 5;Hortaleza;Madrid;a 7,7 km del centro;a 7,7 km del centro;El AYZ Javier Cabrini - Auto check-in property se encuentra en Madrid, a 1,8 km de IFEMA, y ofrece alojamiento con wifi gratuita. El establecimiento se halla en el distrito de Hortaleza.
BELLADURMIENTE;Hostal;0 de 5;Tetuán;Madrid;a 6 km del centro;a 6 km del centro;Gestionado por un particular
Salamanca Luxury Rooms;Hostal;0 de 5;Salamanca;Madrid;a 2,5 km del centro;;Gestionado por un particular
Hostal Continental;Hostal;2 de 5;Centro de Madrid;Madrid;a 450 m del centro;a 450 m del centro;El Hostal Continental está situado en una zona repleta de tiendas, locales de ocio y lugares de interés cultural junto a la plaza de Callao y Gran Vía, una de las calles más prestigiosas del centro de...
Hostal Rofer;Hostal;1 de 5;Centro de Madrid;Madrid;a 1,1 km del centro;a 1,1 km del centro;Este establecimiento acogedor está situado en el encantador barrio madrileño de La Latina, en una de las calles más importantes que conducen a la Plaza Mayor.
Fly Rooms Madrid Airport;Hostal;3 de 5;Barajas;Madrid;a 12 km del centro;;Fly Rooms Madrid Airport, que se encuentra a 5,2 km de IFEMA y a 11 km de Estación de Chamartín - Clara Campoamor, ofrece habitaciones con aire acondicionado y baño privado en Madrid.
Home42;Hostal;3 de 5;Fuencarral - El Pardo;Madrid;a 7,8 km del centro;a 7,8 km del centro;Home42, que se encuentra a 2,7 km de Estación de Chamartín - Clara Campoamor y a 4,7 km de Estadio Santiago Bernabéu, ofrece habitaciones con aire acondicionado y baño privado en Madrid.
Hostal Conchita;Hostal;0 de 5;Centro de Madrid;Madrid;a 450 m del centro;a 450 m del centro;Hostal Conchita está muy bien situado en el barrio de Centro de Madrid, Madrid, a 4 min a pie de Gran Vía, a 600 metros de Plaza Mayor de Madrid y a 5 min a pie de Puerta del Sol.
Hostal Las Vegas;Hostal;1 de 5;Tetuán;Madrid;a 3,6 km del centro;a 3,6 km del centro;Gestionado por un particular
Hostal Oporto;Hostal;2 de 5;Centro de Madrid;Madrid;a 0,5 km del centro;a 0,5 km del centro;La recepción está abierta hasta las 23:30. Los huéspedes que tengan previsto llegar después de lo habitual deberán confirmarlo con antelación.
Rooms Suite Planetario;Hostal;3 de 5;Arganzuela;Madrid;a 2,4 km del centro;a 2,4 km del centro;Rooms Suite Planetario, que se encuentra a 19 min a pie de Estación de tren de Atocha y a 1,7 km de Museo Reina Sofía, ofrece habitaciones con aire acondicionado y baño privado en Madrid.
Guest House Éxito en Madrid;Hostal;0 de 5;Centro de Madrid;Madrid;a 450 m del centro;a 450 m del centro;Guest House Éxito en Madrid se encuentra en el centro de Madrid, a 3 min a pie de Gran Vía y a 400 metros de Estación de metro Gran Vía.
El Pasaje;Hostal;3 de 5;Centro de Madrid;Madrid;a 200 m del centro;;Este hostal está cerca de La Puerta del Sol, la zona más popular y comercial del centro histórico, y ofrece alojamiento céntrico y confortable en Madrid.
Cómoda Habitación Individual;Hostal;3 de 5;Ciudad Lineal;Madrid;a 5,5 km del centro;a 5,5 km del centro;Gestionado por un particular
room Select Sol;Hostal;3 de 5;Centro de Madrid;Madrid;a 450 m del centro;a 450 m del centro;El room Select Sol se encuentra en Madrid, a 200 metros de la Plaza Mayor y a 400 metros del Palacio Real. Todas las habitaciones de este hostal están equipadas con baño privado.
Cozy Rooms in the Heart of Madrid;Hostal;0 de 5;Salamanca;Madrid;a 3,4 km del centro;a 3,4 km del centro;Cozy Rooms in the Heart of Madrid, que está a 3,2 km de Estadio Santiago Bernabéu y a 4 km de Museo Thyssen-Bornemisza, ofrece habitaciones con aire acondicionado y baño privado en Madrid.
Smart Suite;Hostal;3 de 5;Ciudad Lineal;Madrid;a 5,2 km del centro;a 5,2 km del centro;Gestionado por un particular
Habitaciones con vistas Madrid;Hostal;0 de 5;Puente de Vallecas;Madrid;a 5,9 km del centro;a 5,9 km del centro;Gestionado por un particular
Casa Huésped Magdalena;Hostal;1 de 5;Centro de Madrid;Madrid;a 0,5 km del centro;a 0,5 km del centro;La Casa Huésped Magdalena está a solo 100 metros de la estación de metro Antón Martín, en el centro de Madrid.
Pensión Apolo XI;Hostal;0 de 5;Centro de Madrid;Madrid;a 100 m del centro;a 100 m del centro;El Hostal Apolo XI ocupa un antiguo palacio y está a solo 100 metros de la Puerta del Sol, en el centro de Madrid. Algunos alojamientos tienen conexión Wi-Fi gratuita.
Hostal Casa Boutique;Hostal;0 de 5;Centro de Madrid;Madrid;a 0,9 km del centro;;La Casa Boutique presenta un bonito diseño interior y ofrece magníficas habitaciones de estilo real. Habitaciones dobles e individuales y también ofrecemos Suites con camas extragrandes.
Hostal Miralva;Hostal;0 de 5;Centro de Madrid;Madrid;a 0,7 km del centro;a 0,7 km del centro;El Hostal Miralva es un albergue céntrico situado en el animado barrio de Chueca, a 5 minutos a pie de la plaza de Chueca y de la estación de metro. Ofrece conexión Wi-Fi gratuita.
HOSTAL Noche y Dia;Hostal;0 de 5;Arganzuela;Madrid;a 1,4 km del centro;a 1,4 km del centro;HOSTAL Noche y Dia se encuentra en Madrid, a 4 min a pie de Estación de tren de Atocha, y ofrece habitaciones con aire acondicionado y wifi gratis.
Hostal Hispalense;Hostal;3 de 5;Centro de Madrid;Madrid;a 450 m del centro;a 450 m del centro;Hostal Hispalense se encuentra en el centro de Madrid, a 3 min a pie de Mercado de San Miguel, ydispone de habitaciones con aire acondicionado y wifi gratis.
Hostal Terán;Hostal;0 de 5;Centro de Madrid;Madrid;a 200 m del centro;a 200 m del centro;El Hostal Terán está situado a 5 minutos a pie de la Puerta del Sol y de su estación de metro, en pleno centro de Madrid.
Hostal Delfina;Hostal;3 de 5;Centro de Madrid;Madrid;a 0,5 km del centro;a 0,5 km del centro;El Hostal Delfina se encuentra en el corazón de Madrid, junto a la estación de metro de Gran Vía.
Vitium Urban Suites;Hostal;3 de 5;Centro de Madrid;Madrid;a 0,8 km del centro;a 0,8 km del centro;El Vitium Urban Suites se encuentra en la céntrica Gran Vía madrileña, repleta de boutiques de moda.
Jc Rooms Jardines;Hostal;3 de 5;Centro de Madrid;Madrid;a 300 m del centro;;El Jc Rooms Jardines está bien situado en el distrito Centro de Madrid, a menos de 1 km del mercado de San Miguel, a 12 minutos a pie del Museo Thyssen-Bornemisza y a 1 km del Museo del Prado.
Estudios Nuevos Madrid Centro;Hostal;3 de 5;Villaverde;Madrid;a 7,5 km del centro;a 7,5 km del centro;Estudios Nuevos Madrid Centro está muy bien situado en el barrio de Villaverde, Madrid, a 7,9 km de Museo Reina Sofía, a 9,3 km de Museo Thyssen-Bornemisza y a 10 km de Estación de metro Gran Vía.
Hostal Los Arcos;Hostal;1 de 5;Centro de Madrid;Madrid;a 150 m del centro;a 150 m del centro;El Hostal Los Arcos goza de una ubicación céntrica en Madrid, a solo 20 metros de la Puerta del Sol, y cuenta con una zona Wi-Fi pública.
PACOROOMS;Hostal;3 de 5;Centro de Madrid;Madrid;a 0,5 km del centro;;PACOROOMS, que se encuentra a 7 min a pie de Gran Vía y a 1,2 km de Museo Thyssen-Bornemisza, ofrece habitaciones con aire acondicionado y baño privado en Madrid.
Hostal Avenida Barajas;Hostal;3 de 5;Barajas;Madrid;a 12 km del centro;a 12 km del centro;El Hostal Avenida Barajas se encuentra a sólo 2 km del aeropuerto de Madrid Barajas y del centro de convenciones de IFEMA. Ofrece habitaciones funcionales con conexión Wi-Fi gratuita y baño privado.
Hostel Siesta & Go (Atocha);Hostal;0 de 5;Arganzuela;Madrid;a 1,5 km del centro;a 1,5 km del centro;Hostel Siesta & Go (Atocha) está muy bien situado en el barrio de Arganzuela, Madrid, a 6 min a pie de Estación de tren de Atocha, a 600 metros de Museo Reina Sofía y a 1,9 km de Parque de El Retiro.
Hostal Greco Gran Vía Madrid;Hostal;2 de 5;Centro de Madrid;Madrid;a 0,5 km del centro;a 0,5 km del centro;El Hostal Greco está a pocos pasos de la Gran Vía y de la Puerta del Sol, en el centro de Madrid. Este establecimiento de gestión familiar ofrece conexión Wi-Fi gratuita.
Waou Boutique SOL;Hostal;3 de 5;Centro de Madrid;Madrid;a 350 m del centro;a 350 m del centro;Waou Boutique SOL, que está a 3 min a pie de Estación de metro Gran Vía y a 800 metros de Gran Vía, ofrece habitaciones con aire acondicionado y baño privado en Madrid.
HOSTAL DANIEL;Hostal;0 de 5;Centro de Madrid;Madrid;a 0,6 km del centro;a 0,6 km del centro;Gestionado por un particular
Hostal Hispano - Argentino Gran Vía;Hostal;3 de 5;Centro de Madrid;Madrid;a 400 m del centro;a 400 m del centro;Gestionado por un particular
CH Olmedo;Hostal;2 de 5;Centro de Madrid;Madrid;a 200 m del centro;a 200 m del centro;El Olmedo goza de una ubicación ideal en el corazón de Madrid, a sólo 100 metros de la Puerta del Sol.
Montera Center Madrid;Hostal;3 de 5;Centro de Madrid;Madrid;a 150 m del centro;a 150 m del centro;Gestionado por un particular
